,gx,gy,gz
0,32323506,5725721,0.0
1,32323498,5725737,82.0
2,32323495,5725744,96.0
3,32323495,5725740,95.0
4,32323497,5725739,91.0
5,32323498,5725738,86.0
6,32323498,5725739,85.0
7,32323499,5725742,81.0
8,32323501,5725748,85.0
9,32323503,5725748,84.0
10,32323505,5725747,79.0
11,32323505,5725747,74.0
12,32323505,5725747,73.0
13,32323505,5725747,70.0
14,32323505,5725747,70.0
15,32323505,5725747,69.0
16,32323505,5725747,70.0
17,32323505,5725747,70.0
18,32323505,5725747,70.0
19,32323505,5725747,70.0
20,32323505,5725748,71.0
21,32323506,5725747,73.0
22,32323508,5725747,71.0
23,32323511,5725745,71.0
24,32323514,5725741,72.0
25,32323516,5725735,72.0
26,32323517,5725729,69.0
27,32323517,5725724,68.0
28,32323511,5725721,68.0
29,32323505,5725716,67.0
30,32323503,5725710,66.0
31,32323505,5725702,67.0
32,32323510,5725695,66.0
33,32323515,5725688,65.0
34,32323502,5725720,0.0
35,32323522,5725678,63.0
36,32323526,5725673,64.0
37,32323530,5725667,64.0
38,32323534,5725661,62.0
39,32323536,5725656,61.0
40,32323539,5725649,61.0
41,32323542,5725645,64.0
42,32323547,5725636,64.0
43,32323552,5725628,64.0
44,32323557,5725622,65.0
45,32323561,5725616,66.0
46,32323564,5725610,69.0
47,32323562,5725603,69.0
48,32323560,5725599,69.0
49,32323555,5725597,69.0
50,32323554,5725597,69.0
51,32323555,5725599,68.0
52,32323556,5725599,67.0
53,32323556,5725600,67.0
54,32323555,5725600,65.0
55,32323555,5725601,65.0
56,32323544,5725589,0.0
57,32323541,5725595,66.0
58,32323537,5725592,67.0
59,32323529,5725587,68.0
60,32323522,5725583,66.0
61,32323517,5725581,66.0
62,32323515,5725579,67.0
63,32323477,5725579,0.0
64,32323507,5725578,67.0
65,32323506,5725578,68.0
66,32323500,5725575,67.0
67,32323493,5725573,68.0
68,32323488,5725573,63.0
69,32323483,5725570,62.0
70,32323478,5725564,64.0
71,32323477,5725558,62.0
72,32323477,5725555,59.0
73,32323477,5725552,58.0
74,32323479,5725547,56.0
75,32323478,5725544,56.0
76,32323477,5725540,56.0
77,32323477,5725535,57.0
78,32323480,5725530,57.0
79,32323484,5725525,59.0
80,32323487,5725519,58.0
81,32323490,5725514,58.0
82,32323493,5725507,57.0
83,32323497,5725502,56.0
84,32323499,5725497,57.0
85,32323501,5725493,57.0
86,32323505,5725487,60.0
87,32323505,5725481,63.0
88,32323502,5725477,65.0
89,32323500,5725475,65.0
90,32323499,5725472,65.0
91,32323496,5725466,66.0
92,32323492,5725461,67.0
93,32323487,5725456,66.0
94,32323485,5725453,67.0
95,32323481,5725448,68.0
96,32323480,5725445,68.0
97,32323476,5725440,67.0
98,32323472,5725436,65.0
99,32323456,5725411,0.0
100,32323464,5725429,64.0
101,32323459,5725426,65.0
102,32323455,5725420,67.0
103,32323451,5725416,65.0
104,32323447,5725413,69.0
105,32323444,5725410,70.0
106,32323441,5725408,68.0
107,32323437,5725404,68.0
108,32323436,5725402,69.0
109,32323437,5725399,66.0
110,32323434,5725399,65.0
111,32323430,5725395,64.0
112,32323426,5725388,65.0
113,32323421,5725383,64.0
114,32323416,5725377,64.0
115,32323410,5725372,63.0
116,32323406,5725369,63.0
117,32323401,5725364,63.0
118,32323396,5725361,63.0
119,32323392,5725359,62.0
120,32323389,5725359,59.0
121,32323385,5725359,59.0
122,32323380,5725358,56.0
123,32323372,5725360,55.0
124,32323365,5725363,56.0
125,32323359,5725362,58.0
126,32323352,5725360,57.0
127,32323348,5725357,57.0
128,32323343,5725352,56.0
129,32323336,5725347,56.0
130,32323329,5725344,56.0
131,32323322,5725339,55.0
132,32323316,5725335,57.0
133,32323312,5725330,57.0
134,32323311,5725325,63.0
135,32323309,5725317,61.0
136,32323312,5725311,62.0
137,32323315,5725304,63.0
138,32323315,5725297,65.0
139,32323312,5725294,61.0
140,32323314,5725284,0.0
141,32323309,5725292,59.0
142,32323308,5725287,59.0
143,32323309,5725279,62.0
144,32323311,5725274,63.0
145,32323312,5725267,62.0
146,32323310,5725262,64.0
147,32323304,5725258,61.0
148,32323300,5725256,60.0
149,32323292,5725255,60.0
150,32323285,5725254,62.0
151,32323279,5725253,62.0
152,32323272,5725252,63.0
153,32323264,5725250,62.0
154,32323260,5725246,62.0
155,32323258,5725242,63.0
156,32323255,5725236,63.0
157,32323253,5725231,63.0
158,32323250,5725228,66.0
159,32323249,5725227,66.0
160,32323248,5725226,67.0
161,32323248,5725225,68.0
162,32323249,5725223,68.0
163,32323248,5725217,68.0
164,32323250,5725212,68.0
165,32323254,5725205,69.0
166,32323257,5725198,70.0
167,32323260,5725192,72.0
168,32323292,5725165,0.0
169,32323269,5725190,73.0
170,32323276,5725192,70.0
171,32323284,5725196,71.0
172,32323292,5725199,71.0
173,32323298,5725202,72.0
174,32323304,5725204,71.0
175,32323312,5725226,0.0
176,32323313,5725206,67.0
177,32323318,5725208,68.0
178,32323324,5725207,70.0
179,32323328,5725204,70.0
180,32323331,5725199,70.0
181,32323332,5725195,68.0
182,32323345,5725187,0.0
183,32323336,5725190,63.0
184,32323340,5725186,63.0
185,32323341,5725185,60.0
186,32323342,5725181,58.0
187,32323346,5725174,61.0
188,32323349,5725170,61.0
189,32323359,5725155,0.0
190,32323354,5725160,61.0
191,32323356,5725156,63.0
192,32323359,5725152,64.0
193,32323364,5725146,64.0
194,32323369,5725139,66.0
195,32323373,5725134,67.0
196,32323391,5725139,0.0
197,32323379,5725126,66.0
198,32323382,5725121,66.0
199,32323386,5725116,66.0
200,32323387,5725111,65.0
201,32323389,5725108,63.0
202,32323393,5725102,63.0
203,32323397,5725096,66.0
204,32323400,5725091,66.0
205,32323404,5725086,66.0
206,32323406,5725083,65.0
207,32323408,5725078,61.0
208,32323411,5725072,61.0
209,32323414,5725066,61.0
210,32323417,5725061,61.0
211,32323419,5725057,62.0
212,32323422,5725049,65.0
213,32323424,5725044,65.0
214,32323429,5725038,66.0
215,32323433,5725032,67.0
216,32323436,5725026,68.0
217,32323439,5725021,67.0
218,32323442,5725017,65.0
219,32323444,5725013,64.0
220,32323447,5725009,64.0
221,32323450,5725004,65.0
222,32323452,5724999,66.0
223,32323454,5724994,66.0
224,32323456,5724991,64.0
225,32323460,5724988,65.0
226,32323465,5724982,66.0
227,32323469,5724976,68.0
228,32323473,5724970,68.0
229,32323475,5724965,68.0
230,32323478,5724958,70.0
231,32323479,5724952,72.0
232,32323482,5724945,74.0
233,32323483,5724940,74.0
234,32323485,5724936,72.0
235,32323486,5724930,71.0
236,32323487,5724925,72.0
237,32323485,5724918,72.0
238,32323482,5724913,72.0
239,32323479,5724907,72.0
240,32323477,5724903,74.0
241,32323475,5724897,73.0
242,32323473,5724892,75.0
243,32323470,5724887,75.0
244,32323466,5724882,77.0
245,32323464,5724877,78.0
246,32323464,5724871,75.0
247,32323463,5724867,76.0
248,32323460,5724863,76.0
249,32323459,5724862,77.0
250,32323459,5724862,77.0
251,32323458,5724859,78.0
252,32323456,5724854,77.0
253,32323454,5724848,77.0
254,32323451,5724844,76.0
255,32323449,5724841,76.0
256,32323445,5724836,78.0
257,32323442,5724831,77.0
258,32323440,5724825,75.0
259,32323438,5724819,77.0
260,32323436,5724813,80.0
261,32323434,5724808,78.0
262,32323434,5724808,77.0
263,32323434,5724807,78.0
264,32323434,5724810,77.0
265,32323434,5724812,78.0
266,32323434,5724812,78.0
267,32323434,5724812,77.0
268,32323433,5724812,78.0
269,32323434,5724812,78.0
270,32323434,5724812,78.0
271,32323433,5724811,76.0
272,32323433,5724809,76.0
273,32323434,5724806,76.0
274,32323433,5724805,76.0
275,32323432,5724805,76.0
276,32323431,5724804,76.0
277,32323431,5724803,77.0
278,32323430,5724801,77.0
279,32323429,5724798,77.0
280,32323429,5724794,77.0
281,32323428,5724789,78.0
282,32323426,5724784,80.0
283,32323425,5724780,78.0
284,32323424,5724778,78.0
285,32323423,5724774,78.0
286,32323422,5724770,80.0
287,32323421,5724766,78.0
288,32323419,5724763,77.0
289,32323418,5724758,77.0
290,32323418,5724754,78.0
291,32323418,5724750,79.0
292,32323417,5724748,77.0
293,32323417,5724745,75.0
294,32323417,5724744,76.0
295,32323417,5724742,77.0
296,32323417,5724741,78.0
297,32323417,5724741,78.0
298,32323417,5724739,78.0
299,32323416,5724734,80.0
300,32323417,5724730,81.0
301,32323416,5724728,77.0
302,32323416,5724726,77.0
303,32323415,5724722,76.0
304,32323412,5724720,76.0
305,32323409,5724715,79.0
306,32323407,5724710,80.0
307,32323406,5724706,82.0
308,32323403,5724701,82.0
309,32323400,5724697,80.0
310,32323399,5724693,79.0
311,32323396,5724688,79.0
312,32323395,5724684,79.0
313,32323393,5724680,78.0
314,32323392,5724677,78.0
315,32323392,5724674,78.0
316,32323391,5724669,78.0
317,32323391,5724664,79.0
318,32323391,5724660,81.0
319,32323391,5724655,82.0
320,32323391,5724649,82.0
321,32323390,5724644,81.0
322,32323388,5724639,80.0
323,32323387,5724633,82.0
324,32323387,5724628,84.0
325,32323387,5724623,86.0
326,32323386,5724618,87.0
327,32323386,5724614,89.0
328,32323385,5724610,87.0
329,32323385,5724608,89.0
330,32323385,5724604,93.0
331,32323387,5724599,95.0
332,32323389,5724594,96.0
333,32323390,5724592,96.0
334,32323390,5724591,97.0
335,32323390,5724591,100.0
336,32323390,5724590,101.0
337,32323390,5724590,102.0
338,32323391,5724590,102.0
339,32323391,5724590,102.0
340,32323391,5724590,102.0
341,32323391,5724590,102.0
342,32323391,5724590,102.0
343,32323391,5724590,102.0
344,32323391,5724590,101.0
