field_1,field_2,field_3,gx,gy,gz
32323308.000000000000000,5723285.000000000000000,45.039999999999999,"32323308","5723285",90.000000000000000
32323313.000000000000000,5723394.000000000000000,49.320000000000000,"32323313","5723394",78.000000000000000
32323314.000000000000000,5723283.000000000000000,44.920000000000002,"32323314","5723283",93.000000000000000
32323317.000000000000000,5723392.000000000000000,49.520000000000003,"32323317","5723392",76.000000000000000
32323320.000000000000000,5723283.000000000000000,44.460000000000001,"32323320","5723283",96.000000000000000
32323321.000000000000000,5723390.000000000000000,49.409999999999997,"32323321","5723390",72.000000000000000
32323326.000000000000000,5723390.000000000000000,49.259999999999998,"32323326","5723390",70.000000000000000
32323327.000000000000000,5723282.000000000000000,44.630000000000003,"32323327","5723282",97.000000000000000
32323333.000000000000000,5723279.000000000000000,43.789999999999999,"32323333","5723279",94.000000000000000
32323333.000000000000000,5723390.000000000000000,48.979999999999997,"32323333","5723390",68.000000000000000
32323339.000000000000000,5723278.000000000000000,42.990000000000002,"32323339","5723278",94.000000000000000
32323342.000000000000000,5723388.000000000000000,48.820000000000000,"32323342","5723388",67.000000000000000
32323347.000000000000000,5723282.000000000000000,42.880000000000003,"32323347","5723282",96.000000000000000
32323351.000000000000000,5723385.000000000000000,48.250000000000000,"32323351","5723385",67.000000000000000
32323354.000000000000000,5723286.000000000000000,42.930000000000000,"32323354","5723286",95.000000000000000
32323354.000000000000000,5723385.000000000000000,48.289999999999999,"32323354","5723385",67.000000000000000
32323358.000000000000000,5723291.000000000000000,42.950000000000003,"32323358","5723291",99.000000000000000
32323360.000000000000000,5723384.000000000000000,47.909999999999997,"32323360","5723384",67.000000000000000
32323362.000000000000000,5723297.000000000000000,43.030000000000001,"32323362","5723297",103.000000000000000
32323366.000000000000000,5723304.000000000000000,43.100000000000001,"32323366","5723304",103.000000000000000
32323370.000000000000000,5723381.000000000000000,47.109999999999999,"32323370","5723381",73.000000000000000
32323372.000000000000000,5723311.000000000000000,43.090000000000003,"32323372","5723311",103.000000000000000
32323378.000000000000000,5723320.000000000000000,43.210000000000001,"32323378","5723320",102.000000000000000
32323378.000000000000000,5723381.000000000000000,47.030000000000001,"32323378","5723381",73.000000000000000
32323383.000000000000000,5723328.000000000000000,43.280000000000001,"32323383","5723328",100.000000000000000
32323385.000000000000000,5723382.000000000000000,46.759999999999998,"32323385","5723382",72.000000000000000
32323389.000000000000000,5723189.000000000000000,32.439999999999998,"32323389","5723189",85.000000000000000
32323389.000000000000000,5723192.000000000000000,31.520000000000000,"32323389","5723192",84.000000000000000
32323389.000000000000000,5723194.000000000000000,30.760000000000002,"32323389","5723194",84.000000000000000
32323389.000000000000000,5723198.000000000000000,30.899999999999999,"32323389","5723198",82.000000000000000
32323389.000000000000000,5723335.000000000000000,43.240000000000002,"32323389","5723335",98.000000000000000
32323389.000000000000000,5723384.000000000000000,46.579999999999998,"32323389","5723384",70.000000000000000
32323390.000000000000000,5723201.000000000000000,31.219999999999999,"32323390","5723201",83.000000000000000
32323391.000000000000000,5723186.000000000000000,32.399999999999999,"32323391","5723186",83.000000000000000
32323391.000000000000000,5723204.000000000000000,31.640000000000001,"32323391","5723204",87.000000000000000
32323393.000000000000000,5723182.000000000000000,32.579999999999998,"32323393","5723182",84.000000000000000
32323394.000000000000000,5723340.000000000000000,43.469999999999999,"32323394","5723340",96.000000000000000
32323394.000000000000000,5723385.000000000000000,46.350000000000001,"32323394","5723385",72.000000000000000
32323395.000000000000000,5723180.000000000000000,32.600000000000001,"32323395","5723180",84.000000000000000
32323395.000000000000000,5723206.000000000000000,31.520000000000000,"32323395","5723206",90.000000000000000
32323396.000000000000000,5723178.000000000000000,32.680000000000000,"32323396","5723178",82.000000000000000
32323397.000000000000000,5723176.000000000000000,32.740000000000002,"32323397","5723176",80.000000000000000
32323398.000000000000000,5723343.000000000000000,43.780000000000001,"32323398","5723343",94.000000000000000
32323398.000000000000000,5723384.000000000000000,46.049999999999997,"32323398","5723384",73.000000000000000
32323399.000000000000000,5723205.000000000000000,31.239999999999998,"32323399","5723205",90.000000000000000
32323400.000000000000000,5723174.000000000000000,32.869999999999997,"32323400","5723174",78.000000000000000
32323401.000000000000000,5723382.000000000000000,45.729999999999997,"32323401","5723382",74.000000000000000
32323402.000000000000000,5723348.000000000000000,43.399999999999999,"32323402","5723348",94.000000000000000
32323403.000000000000000,5723381.000000000000000,45.399999999999999,"32323403","5723381",78.000000000000000
32323404.000000000000000,5723171.000000000000000,32.880000000000003,"32323404","5723171",71.000000000000000
32323404.000000000000000,5723207.000000000000000,31.289999999999999,"32323404","5723207",91.000000000000000
32323407.000000000000000,5723168.000000000000000,34.359999999999999,"32323407","5723168",68.000000000000000
32323407.000000000000000,5723355.000000000000000,43.479999999999997,"32323407","5723355",93.000000000000000
32323407.000000000000000,5723379.000000000000000,45.240000000000002,"32323407","5723379",79.000000000000000
32323408.000000000000000,5723207.000000000000000,31.579999999999998,"32323408","5723207",89.000000000000000
32323408.000000000000000,5723371.000000000000000,44.380000000000003,"32323408","5723371",88.000000000000000
32323408.000000000000000,5723377.000000000000000,45.310000000000002,"32323408","5723377",81.000000000000000
32323409.000000000000000,5723368.000000000000000,43.969999999999999,"32323409","5723368",96.000000000000000
32323409.000000000000000,5723368.000000000000000,43.969999999999999,"32323409","5723368",97.000000000000000
32323409.000000000000000,5723368.000000000000000,43.969999999999999,"32323409","5723368",99.000000000000000
32323409.000000000000000,5723369.000000000000000,44.009999999999998,"32323409","5723369",93.000000000000000
32323409.000000000000000,5723369.000000000000000,44.009999999999998,"32323409","5723369",94.000000000000000
32323409.000000000000000,5723373.000000000000000,44.850000000000001,"32323409","5723373",85.000000000000000
32323409.000000000000000,5723374.000000000000000,44.950000000000003,"32323409","5723374",84.000000000000000
32323410.000000000000000,5723165.000000000000000,35.259999999999998,"32323410","5723165",67.000000000000000
32323410.000000000000000,5723373.000000000000000,44.710000000000001,"32323410","5723373",80.000000000000000
32323411.000000000000000,5723161.000000000000000,35.750000000000000,"32323411","5723161",64.000000000000000
32323411.000000000000000,5723163.000000000000000,35.680000000000000,"32323411","5723163",67.000000000000000
32323411.000000000000000,5723371.000000000000000,44.100000000000001,"32323411","5723371",94.000000000000000
32323411.000000000000000,5723373.000000000000000,44.350000000000001,"32323411","5723373",84.000000000000000
32323411.000000000000000,5723373.000000000000000,44.350000000000001,"32323411","5723373",88.000000000000000
32323411.000000000000000,5723373.000000000000000,44.350000000000001,"32323411","5723373",90.000000000000000
